Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/08/2021,23,AZ,7903095,430900,3285740,4186455,0,108578,127345,140164,603920,6104303,6103849,5908329,2040534,197128,2657636,3244710,4829,126310,60985,41376,23949,82252,37149,25786,19317,83865,98353,104786,155929,5995412,3438501,47.2,3438127,55.4,3306753,58.6,1082962,82.8,2697379,37.1,2697300,43.5,2638202,46.8,910557,69.6,189882,1129037,1376879,1581,189846,1129024,1376849,1581,189770,1128747,1318110,1575,35411,450049,424145,952,43523,23550,15353,4620
06/08/2021,23,MI,11388960,642500,4756840,5989620,0,114039,132507,145213,645120,8886592,8886308,8593271,2775427,302312,3715428,4867522,1330,292443,140359,86120,65964,187511,83427,52833,51251,88983,103389,109567,157212,9073441,4949232,49.6,4948972,57.6,4747081,60.5,1473945,83.5,4329582,43.4,4329527,50.4,4236777,54,1384148,78.4,307523,1753121,2268310,628,307511,1753101,2268288,627,307362,1752701,2176089,625,57384,695778,630568,418,103981,56304,32752,14925
06/08/2021,23,FM,77800,10200,67600,0,0,75065,87901,96237,441569,45734,45724,45704,3934,2991,42743,0,0,151,0,151,0,89,0,89,0,44126,51660,56535,22328,46028,26751,25.8,26742,30.2,26722,33.1,2263,12.8,21888,21.1,21884,24.7,21878,27.1,2010,11.4,2972,18878,38,0,2969,18877,38,0,2966,18874,38,0,326,1679,5,0,62,0,62,0
06/08/2021,23,RP,24600,3800,20800,0,0,137376,160868,176129,808147,24369,24369,24369,3049,1729,22639,1,0,0,0,0,0,0,0,0,0,136086,159358,174476,100164,24563,13802,77.1,13802,90.3,13801,98.8,1665,54.7,12482,69.7,12482,81.6,12482,89.4,1607,52.8,1727,10734,21,0,1727,10734,21,0,1727,10734,21,0,181,1418,8,0,0,0,0,0
06/08/2021,23,GA,10881625,597200,4593740,5690685,0,102488,121067,134117,717334,7931960,7930339,7714785,2336333,203453,3439929,4287918,660,122481,71021,38824,12636,73921,41257,23049,9615,74707,88232,95085,154015,7923791,4381496,41.3,4379986,48.7,4230220,52.1,1211901,79.9,3587882,33.8,3587658,39.9,3521128,43.4,1053220,69.4,200351,1525134,1862006,391,200264,1525092,1861911,391,200101,1524709,1795941,377,25438,586685,440914,183,47910,29337,15513,3060
06/08/2021,23,WI,5985495,316700,2573560,3095235,0,102801,119715,131381,588404,5587826,5587523,5403249,1798619,220771,2341178,3025303,574,182230,85930,59551,36749,121881,52681,37940,31260,95971,111755,118601,176813,5547443,3021765,51.9,3021402,60.4,2896930,63.6,907562,89.2,2659037,45.7,2658985,53.2,2601661,57.1,865860,85.1,213392,1070818,1374566,261,213379,1070807,1374538,261,213272,1070591,1317541,257,22501,421985,421264,110,59759,32808,21425,5526
06/08/2021,23,OH,12134775,655500,5090100,6389175,0,103813,121339,133187,593005,10115980,10115780,9805387,3276374,399920,4226111,5478887,11062,366458,169216,117564,79678,235014,99785,72156,63073,86542,101151,107620,160111,9990541,5452716,46.6,5452513,54.5,5245099,57.6,1690457,82.6,4829962,41.3,4829919,48.3,4730433,51.9,1593971,77.9,386123,1941717,2498770,3352,386108,1941708,2498751,3352,385983,1941458,2399661,3331,73490,730426,788231,1824,128370,67462,44239,16669
06/08/2021,23,WV,1861835,110100,843620,908115,0,103889,119514,129964,507297,1336440,1335592,1298022,515280,30597,629130,676528,185,25950,4,1,25945,17481,4,1,17476,74572,85734,90607,140399,1333168,741362,41.4,740785,47.6,714049,49.8,273721,74.6,621312,34.7,621063,39.9,610636,42.6,247337,67.4,31521,285933,303720,138,31510,285851,303564,138,31483,285743,293276,134,5125,127158,114983,71,8410,4,0,8406
06/08/2021,23,MO,5982555,311300,2456680,3214575,0,97477,114264,125504,563309,4763929,4763637,4637677,1593409,152080,1849454,2761999,396,157985,85263,49603,23119,99658,51073,30824,17761,77621,90984,97290,150033,4669383,2630434,42.9,2630156,50.2,2544602,53.4,838970,79,2160362,35.2,2160334,41.3,2125576,44.6,744784,70.1,152680,826469,1181143,70,152668,826460,1181136,70,152550,826266,1146693,67,29601,341715,373438,30,57960,33787,18597,5576
06/08/2021,23,FL,24068825,1695000,9717740,12656085,0,112064,128738,139547,535179,19301304,19293968,18886761,7652890,863904,8060884,10337877,38639,402800,207911,118506,76383,242879,120897,69839,52143,89867,103198,109502,170165,19033314,10821863,50.4,10815250,57.8,10529371,61,3975759,88.4,8697027,40.5,8696109,46.5,8580552,49.7,3395317,75.5,851453,3474670,4358392,12512,851195,3474091,4358311,12512,850912,3473788,4243350,12502,165527,1694120,1526688,8982,157779,85333,47778,24668
