state_name,All,Asian,Black,Hispanic,White
United States,13,On Track,170,7,16
Alabama,500+,On Track,500+,500+,500+
Alaska,277,On Track,500+,500+,83
Arizona,246,On Track,344,489,100
Arkansas,500+,On Track,500+,429,500+
California,On Track,On Track,199,57,On Track
Colorado,2,On Track,110,500+,On Track
Connecticut,On Track,On Track,225,On Track,On Track
Delaware,On Track,On Track,147,On Track,On Track
District of Columbia,On Track,On Track,121,On Track,On Track
Florida,128,NR,500+,32,74
Georgia,315,On Track,347,232,493
Hawaii,On Track,On Track,500+,NR,On Track
Idaho,500+,On Track,59,474,500+
Illinois,On Track,On Track,247,23,On Track
Indiana,443,On Track,500+,331,484
Iowa,223,81,500+,308,183
Kansas,347,On Track,425,283,384
Kentucky,244,On Track,307,NR,255
Louisiana,500+,On Track,500+,48,500+
Maine,On Track,On Track,On Track,On Track,On Track
Maryland,On Track,On Track,23,On Track,On Track
Massachusetts,On Track,On Track,On Track,On Track,On Track
Michigan,244,On Track,500+,115,220
Minnesota,20,On Track,74,63,31
Mississippi,500+,On Track,500+,500+,500+
Missouri,500+,On Track,500+,On Track,500+
Montana,477,NR,NR,NR,NR
Nebraska,114,On Track,203,120,122
Nevada,205,On Track,500+,124,319
New Hampshire,81,NR,NR,NR,NR
New Jersey,On Track,On Track,211,On Track,On Track
New Mexico,On Track,On Track,31,457,On Track
New York,On Track,On Track,249,On Track,On Track
North Carolina,500+,On Track,500+,178,500+
North Dakota,500+,NR,NR,NR,NR
Ohio,265,On Track,446,70,284
Oklahoma,500+,On Track,500+,262,500+
Oregon,On Track,On Track,On Track,195,On Track
Pennsylvania,On Track,30,62,On Track,On Track
Rhode Island,On Track,On Track,35,On Track,On Track
South Carolina,500+,NR,500+,305,500+
South Dakota,301,500+,500+,500+,52
Tennessee,500+,83,500+,198,500+
Texas,202,On Track,480,167,266
Utah,250,On Track,On Track,369,251
Vermont,On Track,On Track,422,On Track,On Track
Virginia,On Track,On Track,111,On Track,38
Washington,On Track,On Track,On Track,62,On Track
West Virginia,500+,NR,434,NR,500+
Wisconsin,137,On Track,433,185,126
Wyoming,500+,NR,NR,NR,NR
